GoldBird,1,1,U
GoldBunny,1,1,U
GoldButterfly,1,1,U
GoldFrog,1,1,U
GoldGrasshopper,1,1,U
GoldMouse,1,1,U
GoldWorm,1,1,U
FragmentVortex,8,12,C
FragmentNebula,8,12,C
FragmentSolar,8,12,C
FragmentStardust,8,12,C
LunarBar,8,12,C
SuperHealingPotion,3,5,C
SquirrelGold,1,1,U
MoonlordBullet,100,200,C
MoonlordArrow,100,200,C
CelestialSigil,1,1,R
GoldGoldfish,1,1,U
GoldDragonfly,1,1,U
GoldLadyBug,1,1,U
GoldWaterStrider,1,1,U
GoldSeahorse,1,1,U
TerraToilet,1,1,V
MoonLordLegs,1,1,V
BottomlessShimmerBucket,1,1,R
