Keybrand,1,1,R
TacticalShotgun,1,1,R
PaladinsShield,1,1,R
BlackBelt,1,1,R
Tabi,1,1,R
ChlorophyteBar,8,12,C
ChlorophyteBullet,100,200,U
WispinaBottle,1,1,R
HallowedBar,8,12,C
ChlorophyteArrow,100,200,C
SniperRifle,1,1,R
MagnetSphere,1,1,R
LihzahrdPowerCell,1,1,R
RifleScope,1,1,R
RodofDiscord,1,1,R
DeathSickle,1,1,U
Ectoplasm,5,10,C
PaladinsHammer,1,1,R
ShroomiteBar,8,12,R
BrokenHeroSword,1,1,V
PumpkinMoonMedallion,1,1,R
SniperScope,1,1,R
PulseBow,1,1,U
TruffleWorm,1,1,R
LunarTabletFragment,3,5,C
ButchersChainsaw,1,1,U
ToxicFlask,1,1,U
PsychoKnife,1,1,U
NailGun,1,1,U
DeadlySphereStaff,1,1,U
SpectreBar,8,12,R
EmpressButterfly,1,1,R
