CobaltBar,8,12,C
MythrilBar,8,12,U
AdamantiteBar,8,12,R
HolyWater,10,20,U
UnholyWater,10,20,U
DualHook,1,1,R
MoonCharm,1,1,R
NeptunesShell,1,1,R
GreaterHealingPotion,3,5,U
GreaterManaPotion,3,5,U
PixieDust,3,5,C
CrystalShard,5,7,C
CrystalBullet,100,200,U
HolyArrow,100,200,U
MagicDagger,1,1,R
SoulofLight,5,10,C
SoulofNight,5,10,C
CursedFlame,5,7,C
UnicornHorn,1,1,U
DarkShard,1,1,U
LightShard,1,1,U
StarCloak,1,1,R
PhilosophersStone,1,1,R
TitanGlove,1,1,R
MechanicalEye,1,1,R
CursedArrow,100,200,U
CursedBullet,100,200,U
CrossNecklace,1,1,R
MechanicalWorm,1,1,R
MechanicalSkull,1,1,R
SoulofFlight,5,10,U
Pearlwood,25,100,C
Cutlass,1,1,R
Frostbrand,1,1,R
UnholyTrident,1,1,R
BeamSword,1,1,R
IceBow,1,1,R
FrostStaff,1,1,R
DiscountCard,1,1,V
LuckyCoin,1,1,V
UnicornonaStick,1,1,V
StarVeil,1,1,R
AdhesiveBandage,1,1,R
ArmorPolish,1,1,R
Blindfold,1,1,R
FastClock,1,1,R
Vitamins,1,1,R
TrifoldMap,1,1,R
MoonStone,1,1,R
CoinGun,1,1,V
PalladiumBar,8,12,C
OrichalcumBar,8,12,U
TitaniumBar,8,12,R
NimbusRod,1,1,R
FrozenTurtleShell,1,1,U
FlowerofFrost,1,1,R
Uzi,1,1,V
LifeFruit,1,3,U
IceSickle,1,1,R
MagicQuiver,1,1,R
Bananarang,1,1,R
MagicQuiver,1,1,R
RodofDiscord,1,1,V
TurtleShell,1,1,R
Ichor,5,7,C
IchorArrow,100,200,U
IchorBullet,100,200,U
FrostCore,1,1,U
SuperManaPotion,3,5,U
Gatligator,1,1,V
LifeforcePotion,3,5,U
LovePotion,3,5,V
SpiderFang,3,5,C
MasterBait,3,5,C
LivingFireBlock,25,100,C
SoulDrain,1,1,V
DartPistol,1,1,V
DartRifle,1,1,V
ChainGuillotines,1,1,V
FetidBaghnakhs,1,1,V
ClingerStaff,1,1,V
PutridScent,1,1,V
FleshKnuckles,1,1,V
TendonHook,1,1,V
IlluminantHook,1,1,V
DaedalusStormbow,1,1,V
FlyingKnife,1,1,V
GoldRing,1,1,V
CoinRing,1,1,V
CrystalVileShard,1,1,V
ShadowFlameBow,1,1,V
ShadowFlameHexDoll,1,1,V
ShadowFlameKnife,1,1,V
CrystalSerpent,1,1,U
Toxikarp,1,1,U
Bladetongue,1,1,U
BlessedApple,1,1,R
StrangePlant1,1,1,U
StrangePlant2,1,1,U
StrangePlant3,1,1,U
StrangePlant4,1,1,U
BloodWater,10,20,U
Bacon,3,5,R
AncientHorn,1,1,R
PocketMirror,1,1,R
AncientBattleArmorMaterial,1,1,U
SanguineStaff,1,1,R
SharpTears,1,1,R
DripplerFlail,1,1,R
BloodHamaxe,1,1,R
ZapinatorOrange,1,1,R
LuckPotionGreater,3,5,U
Smolstar,1,1,R
QueenSlimeCrystal,1,1,R
