IronPickaxe,1,1,U
DirtBlock,25,100,C
StoneBlock,25,100,C
IronBroadsword,1,1,U
Mushroom,7,10,C
IronHammer,1,1,U
Torch,50,100,C
Wood,25,100,C
IronAxe,1,1,U
GoldWatch,1,1,R
DepthMeter,1,1,R
GoldBar,8,12,U
CopperBar,8,12,C
SilverBar,8,12,U
IronBar,8,12,C
Gel,10,15,C
LesserHealingPotion,3,5,C
LifeCrystal,1,1,V
Lens,1,2,U
WoodenArrow,100,200,C
FlamingArrow,100,200,U
Shuriken,100,200,C
SuspiciousLookingEye,1,1,R
Chest,1,3,U
BandofRegeneration,1,1,U
MagicMirror,1,1,U
JestersArrow,100,200,R
AngelStatue,1,1,V
CloudinaBottle,1,1,U
HermesBoots,1,1,U
VileMushroom,3,5,U
Sunflower,2,3,C
PurificationPowder,20,30,U
VilePowder,20,30,U
RottenChunk,3,5,U
WormTooth,3,8,R
WormFood,1,1,R
CopperCoin,50,99,C
SilverCoin,50,99,U
GoldCoin,1,10,R
FallenStar,2,5,C
GrapplingHook,1,1,U
PiggyBank,1,1,V
MiningHelmet,1,1,R
IronBow,1,1,U
ManaCrystal,1,2,R
LesserManaPotion,3,5,C
Hook,1,1,U
Cobweb,20,50,C
Bomb,10,15,C
Dynamite,5,10,U
Grenade,15,30,C
SandBlock,25,100,C
MudBlock,25,100,C
Sapphire,5,7,U
Ruby,5,7,R
Emerald,5,7,U
Topaz,5,7,C
Amethyst,5,7,C
Diamond,5,7,R
GlowingMushroom,7,10,U
BreathingReed,1,1,U
Flipper,1,1,U
HealingPotion,3,5,U
ManaPotion,3,5,U
WhoopieCushion,1,1,R
Shackle,1,1,R
Silk,5,10,C
RestorationPotion,3,5,R
BlackLens,1,1,V
GoldCrown,1,1,R
DivingHelmet,1,1,R
Coral,3,5,U
Cactus,20,30,C
Trident,1,1,U
ThrowingKnife,100,200,U
Spear,1,1,U
Blowpipe,1,1,U
Glowstick,50,75,C
WoodenBoomerang,1,1,U
Aglet,1,1,U
RegenerationPotion,3,5,U
SwiftnessPotion,3,5,U
GillsPotion,3,5,U
IronskinPotion,3,5,U
ManaRegenerationPotion,3,5,U
MagicPowerPotion,3,5,U
FeatherfallPotion,3,5,U
SpelunkerPotion,3,5,U
InvisibilityPotion,3,5,U
ShinePotion,3,5,U
NightOwlPotion,3,5,U
BattlePotion,3,5,U
ThornsPotion,3,5,U
WaterWalkingPotion,3,5,U
ArcheryPotion,3,5,U
HunterPotion,3,5,U
GoldChest,1,3,R
Daybloom,3,5,C
Moonglow,3,5,C
Blinkroot,3,5,C
Deathweed,3,5,C
Waterleaf,3,5,C
SharkFin,1,2,C
AntlionMandible,2,3,C
Toilet,1,1,V
TatteredCloth,3,5,U
GoblinBattleStandard,1,1,R
Compass,1,1,R
MiningShirt,1,1,R
MiningPants,1,1,R
SiltBlock,50,100,U
SlimeCrown,1,1,R
Ebonwood,25,100,C
Fish,1,1,U
IceBoomerang,1,1,U
TinBar,8,12,C
LeadBar,8,12,C
TungstenBar,8,12,U
PlatinumBar,8,12,U
PlatinumWatch,1,1,R
IceBlade,1,1,U
AsphaltBlock,25,100,V
SandstorminaBottle,1,1,R
WaterWalkingBoots,1,1,U
VikingHelmet,1,1,R
LavaCharm,1,1,R
FlareGun,1,1,U
LeafWand,1,1,U
FlyingCarpet,1,1,R
WebSlinger,1,1,V
Umbrella,1,1,U
IceSkates,1,1,U
ClimbingClaws,1,1,U
Rope,25,100,C
ShoeSpikes,1,1,U
BlizzardinaBottle,1,1,U
FrostburnArrow,100,200,U
EnchantedSword,1,1,R
Extractinator,1,1,U
Amber,5,7,R
BoneSword,1,1,U
JellyfishNecklace,1,1,U
SnowballCannon,1,1,U
BonePickaxe,1,1,R
ChainKnife,1,1,R
Vertebrae,3,5,U
BloodySpine,1,1,R
FlurryBoots,1,1,U
Pumpkin,15,25,C
Duck,1,1,V
BrickLayer,1,1,R
ExtendoGrip,1,1,R
PaintSprayer,1,1,R
PortableCementMixer,1,1,R
Katana,1,1,U
Bass,3,5,C
MiningPotion,3,5,U
HeartreachPotion,3,5,U
CalmingPotion,3,5,U
BuilderPotion,3,5,U
FlipperPotion,3,5,U
SummoningPotion,3,5,U
TrapsightPotion,3,5,U
RecallPotion,3,5,U
Shiverthorn,3,5,C
WarmthPotion,3,5,U
FrogLeg,1,1,R
Seashell,3,5,U
Starfish,3,5,U
ApprenticeBait,3,5,C
ViciousPowder,20,30,U
ViciousMushroom,3,5,U
WormholePotion,3,5,U
CordageGuide,1,1,U
WandofSparking,1,1,U
Radar,1,1,U
NightVisionHelmet,1,1,R
PinkGel,25,50,R
FrostDaggerfish,100,200,U
IceMirror,1,1,U
SailfishBoots,1,1,U
TsunamiInABottle,1,1,R
SharkToothNecklace,1,1,R
MoneyTrough,1,1,V
BalloonPufferfish,1,1,R
FossilOre,8,12,U
LeadBow,1,1,U
PlatinumPickaxe,1,1,R
LeadHammer,1,1,U
LeadAxe,1,1,U
LeadPickaxe,1,1,U
GoldPickaxe,1,1,R
AntlionClaw,1,1,R
SandBoots,1,1,U
AncientChisel,1,1,U
CarbonGuitar,1,1,V
ThunderSpear,1,1,U
ThunderStaff,1,1,U
Terragrim,1,1,V
MysticCoilSnake,1,1,U
MagicConch,1,1,U
BloodMoonStarter,1,1,R
CatBast,1,1,U
BabyBirdStaff,1,1,U
PortableStool,1,1,U
EncumberingStone,1,1,U
WhitePearl,1,1,U
BlackPearl,1,1,R
PinkPearl,1,1,V
ScarabBomb,10,15,U
SandcastleBucket,1,1,U
Gladius,1,1,R
LuckPotionLesser,3,5,U
ChumBucket,7,10,U
Shroomerang,1,1,U
Mace,1,1,U
FlinxFur,3,5,C
PoopBlock,100,200,V
